pdb_id,Group,training,p1p1x,p2p2x,r3r3x,h_cgvc,ang_NHs,ang_CHs,dist_NH,dist_CH
2OG8_A,cido,1.0,-0.651131745,-0.768112349,-0.53756151,0.9747875659999999,42.96149999,24.34781083,6.871246338,10.09935665
2OH4_A,cido,1.0,-0.562424158,-0.5218854620000001,-0.57942578,0.9829763509999999,38.41156175,23.90361637,6.473623752999999,10.0429821
2P2I_A,cido,1.0,-0.694446637,-0.7605075240000001,-0.553604329,0.97069631,42.0549841,10.69993385,7.017020702000001,9.892422676
2PL0_A,cido,1.0,-0.7142925859999999,-0.787432197,-0.634441158,0.95172213,44.35993236,22.40188343,7.318692684,9.755108833
2QU5_A,cido,1.0,-0.787737963,-0.830511352,-0.681502522,0.969678629,37.90002688,11.85419454,7.1012244220000005,9.465154648
2YIY_A,cido,1.0,-0.7901972490000001,-0.889205412,-0.624011663,0.98274,32.84131858,30.22495923,6.5088849070000006,9.606235503999999
3DKO_A,cido,1.0,-0.8353424859999999,-0.920274347,-0.655788698,0.965518988,39.09644608,28.99973943,7.008239746,9.21303463
3ETA_A,cido,1.0,-0.81461038,-0.839745738,-0.7071683959999999,0.86176765,52.00676751,10.64874345,7.285274506,9.986609459
3EWH_A,cido,1.0,-0.7898485009999999,-0.81467049,-0.70592474,0.979754065,40.77112772,24.76433129,6.937500954,10.2729578
3F82_A,cido,1.0,-0.7412202040000001,-0.7123671970000001,-0.678998058,0.67269074,74.04083079,47.3703159,10.20746422,10.15226364
3FZT_A,cido,1.0,-0.644047415,-0.780117695,-0.558296385,0.931345958,44.71756879,22.39113824,7.088309288,10.36965275
3GCV_A,cido,1.0,-0.7978701970000001,-0.881919195,-0.927088713,0.998627264,32.68595464,23.27264204,8.015571593999999,10.23220539
3HV5_A,cido,1.0,-0.884298853,-0.845941306,-0.8960288479999999,0.999974338,31.87513664,27.89519416,7.2076573370000006,10.21407413
3II5_A,cido,1.0,-0.896752076,-0.913604483,-0.8844434609999999,0.996052011,32.01953283,26.22010676,7.9815001489999995,10.06053257
3KQ7_A,cido,1.0,-0.7907356409999999,-0.775983669,-0.7596069329999999,0.998207966,32.2421001,29.69695483,7.5464949610000005,10.01372814
3L8V_A,cido,1.0,-0.7624065309999999,-0.7362973979999999,-0.690179258,0.707867618,72.18873939,47.31319494,9.417430878,9.283633232
3NPC_A,cido,1.0,-0.863428803,-0.9217284109999999,-0.787167288,0.9714912520000001,23.62797312,34.52174342,7.2127552029999995,9.450329781
3O23_A,cido,1.0,-0.804776618,-0.11093934300000001,-0.857338578,0.768384165,75.47714096,37.85095843,9.779452324,12.47776127
3QRK_A,cido,1.0,-0.73286666,-0.8347970779999999,-0.637476834,0.9829878670000001,34.06338412,29.38377944,6.763299942000001,9.57094574
3TUB_A,cido,1.0,-0.751097835,-0.826145206,-0.553838772,0.9754330090000001,37.28349291,31.37256502,7.05677557,9.5900383
3UGC_A,cido,1.0,-0.6997967759999999,-0.6444874110000001,-0.6714753529999999,0.985687601,36.14680694,24.57279173,7.060939789,9.730197906
3ZOS_A,cido,1.0,-0.67728341,-0.7854225290000001,-0.538630133,0.979460557,40.40322327,21.64538537,7.122256279,10.06352425
4ASD_A,cido,1.0,-0.7116156290000001,-0.753198832,-0.628629211,0.971347994,37.59195777,17.79369591,6.5596094129999996,9.999786377000001
4AT4_A,cido,1.0,-0.69436539,-0.624343744,-0.689157419,0.9660009359999999,38.96971134,29.84892577,8.741603851,12.27781868
4BKJ_A,cido,1.0,-0.739476768,-0.847622089,-0.584886366,0.970319134,41.45494704,20.35073279,7.083451271,10.31107998
4EEV_A,cido,1.0,-0.7919811179999999,-0.781070259,-0.724024456,0.719701549,72.41912138,49.3920386,9.518015862,10.24089432
4EQU_A,cido,1.0,-0.810135785,-0.924323593,-0.593917052,0.978358895,36.59939648,27.76108285,8.269010544,9.741256714
4EYJ_A,cido,1.0,-0.76573617,-0.833227455,-0.6977235190000001,0.984355874,34.07468929,32.58564276,7.168377876,9.071840286
4F7N_A,cido,1.0,-0.8361054240000001,-0.8642181059999999,-0.7831637709999999,0.980500446,23.41055499,32.53576104,7.134852886,9.742883682
4H1J_A,cido,1.0,-0.664375689,-0.797021407,-0.574558499,0.931822127,44.23542139,22.81643496,6.901611805,10.36865139
4JVG_A,cido,1.0,-0.896552467,-0.9001942820000001,-0.8697903370000001,0.979441931,31.9604718,25.80357565,7.356327534,9.593276024
4K9Y_A,cido,1.0,-0.8043909690000001,-0.920556857,-0.529023067,0.974142622,40.88280091,32.40433734,6.737434864,9.441106796
3RCD_A,codi,1.0,0.89226198,0.85629988,0.846612337,0.84507822,55.53423504,37.67551951,11.99163437,10.99665546
1FMK_A,codi,1.0,0.914938613,0.8861548990000001,0.895001829,0.5022879960000001,82.11775982,69.13322319,14.19355297,12.62196159
1XKK_A,codi,1.0,0.901533461,0.878098055,0.9022036640000001,0.527244273,75.92370051,50.2867343,12.89340591,11.96606159
2DS1_A,codi,1.0,0.824585737,0.800733824,0.791151574,0.08534606300000001,103.65648359999999,84.15927936,15.48005772,12.88916111
3BBT_B,codi,1.0,0.839414668,0.817731455,0.861593486,0.21426714600000002,87.63461467,76.38489202,14.53890228,13.04101181
3DJ6_A,codi,1.0,0.028917402999999998,0.663351627,0.651216124,0.471927596,83.51808694,45.344951,13.53550243,12.53542995
3EFK_A,codi,1.0,0.94708756,0.8981259779999999,0.947681903,0.644237657,73.50340695,49.39350326,13.02592278,11.28876972
3QZF_A,codi,1.0,0.7276480670000001,0.796814593,0.838822548,-0.057754102,111.1989926,90.58040905,15.88726521,12.88688946
3TI1_A,codi,1.0,0.910258859,0.889536385,0.9037508670000001,-0.376041823,129.410317,106.18227140000002,16.86288834,14.38456535
3TUC_A,codi,1.0,0.8063051240000001,0.61068681,0.835384012,0.643549642,61.86096506,44.47959895,11.57639217,12.49953938
3U6I_A,codi,1.0,0.890353609,0.830338528,0.890634314,0.650519368,69.23222819,48.54523426,12.53288841,11.29889965
4G31_A,codi,1.0,0.327662088,0.8848184579999999,0.8912307770000001,0.523568082,81.59269188,58.41695479,13.34439945,13.20456028
4MNE_A,codi,1.0,0.69198576,0.82963395,0.90830376,-0.18868120100000002,111.05612020000001,93.26270444,16.63758469,14.05411339
4U3Y_A,codi,1.0,0.924303807,0.1741348,0.895332754,0.137527763,86.79585184,92.84563435,14.83341408,13.15047836
4YBK_A,codi,1.0,0.7301711340000001,0.766432865,0.8348870190000001,0.718408033,68.85590495,45.23048504,14.00971985,11.66274548
5FD2_A,codi,1.0,0.9297357270000001,0.919310011,0.940514796,0.639632176,73.14925011,59.69446831,12.75272083,12.24522305
2C6E_A,codo,1.0,-0.92242384,-0.989345681,-0.589774101,0.80645421,65.99833429,27.83500625,11.74441624,8.729219437000001
3EFJ_A,codo,1.0,-0.668578531,-0.7315311640000001,-0.569906256,0.716942209,67.35024874,41.53096134,13.21206379,10.60871887
3NAX_A,codo,1.0,-0.7572693659999999,-0.9020021340000001,-0.23205492100000003,0.47688923,89.08815586,74.83296296,15.13063526,14.10757542
3QC4_A,codo,1.0,-0.8050117240000001,-0.9374635859999999,-0.348877221,-0.414331389,130.4450705,142.892391,19.5845108,17.86500931
4JAI_A,codo,1.0,-0.37378237299999995,-0.750594984,0.419209919,0.665297236,79.37528629,38.55971094,12.35438919,9.234261513
2RF9_A,other,1.0,-0.732559588,-0.852189541,-0.031089687999999997,0.732909134,60.2639029,43.90445739,13.42410183,9.090686798
4AT5_A,other,1.0,-0.723531041,-0.48020071799999997,-0.657058303,0.9349775459999999,42.51832332,28.241276899999995,8.566930771000001,12.39003468
3CKW_A,other,1.0,0.925659985,-0.9024756490000001,0.9757664629999999,0.9356886740000001,47.61351174,20.12178161,8.80959034,8.348767281
3ET7_A,other,1.0,0.248481741,-0.985210565,-0.042857735999999994,0.92972527,50.1405119,23.214269199999997,7.124528408,7.438671112000001
3FME_A,other,1.0,-0.581527359,-0.9386583209999999,0.086819276,-0.19493888899999998,102.97399320000001,94.57875515,17.05273628,13.80318928
3FZR_A,other,1.0,0.28582105,-0.9603516529999999,-0.001196711,0.927968446,52.43255103,27.66858798,7.319542407999999,7.274719715
3W8Q_A,other,1.0,-0.43659024,0.058692045,-0.12703589999999998,-0.25443626399999997,114.9711597,98.04710686,16.10898972,14.18943501
4FG8_A,other,1.0,0.9359530890000001,-0.180920665,0.96853066,0.35144842600000004,89.62086029,66.98108149,14.81197643,13.40001869
4NUS_A,other,1.0,0.24218563699999998,-0.840889124,-0.36223173799999997,0.9168300770000001,55.52870727,35.90953484,9.093182564,6.333953857000001
4OLI_A,other,1.0,-0.09701718599999999,-0.213085439,0.372685224,0.22704640199999998,40.45596661,19.33901479,6.582135201,8.14862442
5D9K_A,other,1.0,0.151088792,-0.86645003,-0.282401759,0.921936203,57.11959863,40.87776536,9.458669662,7.497172356
5D9L_A,other,1.0,0.219192102,-0.864483278,-0.394329705,0.906336145,54.7491657,69.51409720000001,7.854958534,8.051773071
1CKI_A,cidi,2.0,0.994674455,0.9950626379999999,0.993518535,0.9213158509999999,43.57608705,17.10167535,7.259484291000001,7.664031028999999
1EH4_A,cidi,2.0,0.987931132,0.95821977,0.98593144,0.928859529,43.58894732,13.94200628,7.105586529,7.240621567000001
1J91_A,cidi,2.0,0.9891318000000001,0.986495063,0.988143274,0.9905387840000001,31.78801423,20.55999569,7.439645767000001,8.682810782999999
1M2Q_A,cidi,2.0,0.938237917,0.9923562359999999,0.993321922,0.9956876570000001,28.16292698,21.88020981,7.375895977000001,8.634356498999999
1QPE_A,cidi,2.0,0.945856405,0.989213091,0.999673281,0.932916981,43.35839809,19.990452800000003,7.25644207,7.868350982999999
1STC_E,cidi,2.0,0.9999825840000001,0.9964957329999999,0.970216725,0.9985762909999999,35.37859684,32.43214827,7.085965157,7.656857491
1UKI_A,cidi,2.0,0.893461598,0.464775104,0.870250885,0.9802354999999999,34.86925181,31.68221095,7.555851936,8.39548111
1ZRZ_A,cidi,2.0,0.992556212,0.9660313309999999,0.989156464,0.982467394,24.99674708,31.380351899999997,6.841151237,7.910636902
2B7A_A,cidi,2.0,0.868182392,0.998338605,0.9556975059999999,0.949249027,43.4700501,26.00966615,7.066112518,9.092849731
2BZJ_A,cidi,2.0,0.9901354929999999,0.9967492929999999,0.993352316,0.9472463720000001,33.93233685,18.00868046,7.62604332,8.168372154
2E9V_A,cidi,2.0,0.955312409,0.982715825,0.982435692,0.980624501,35.33326668,20.75561423,7.438396453999999,8.098643303
2HXL_A,cidi,2.0,0.9879845340000001,0.993433199,0.988210479,0.977316182,35.79610845,20.43027786,7.284885406,8.148457527
2ITZ_A,cidi,2.0,0.945172186,0.99912624,0.9922216559999999,0.933782698,48.48316023,24.568009,7.87679863,7.7173514370000005
2NO3_A,cidi,2.0,0.917144906,0.993019291,0.9804265129999999,0.9926247659999999,22.73682891,35.9734484,6.663378239,7.00353241
2P33_A,cidi,2.0,0.904832878,0.5882001579999999,0.9376493770000001,0.9778210540000001,22.94938581,41.46386904,7.617442131000001,7.051096439
2QKR_A,cidi,2.0,0.993601958,0.989975397,0.991525393,0.953746891,36.24186364,13.09487689,7.639121532000001,7.716846466000001
2WTC_A,cidi,2.0,0.998963722,0.999575325,0.9981097729999999,0.9604993820000001,31.92360499,16.24154694,7.84671402,7.750517845
2XBJ_A,cidi,2.0,0.998618709,0.997687275,0.994025301,0.954485403,38.27408486,13.18169469,8.671340942,8.060048103
2YCR_A,cidi,2.0,0.9976878490000001,0.9970887759999999,0.989890818,0.946798472,38.15339291,13.81771766,8.656963348,8.269980431
2Z60_A,cidi,2.0,0.993751245,0.9943267179999999,0.998167164,0.9500022509999999,41.55065894,19.242627300000002,6.744982718999999,8.777217865
3A4O_X,cidi,2.0,0.998225935,0.964082175,0.947364746,0.88870944,59.46269688,21.5180824,8.239906311,8.246055603
3BGP_A,cidi,2.0,0.9934222659999999,0.9891888940000001,0.970703392,0.9803340620000001,31.40647952,25.47261288,6.984312057,7.8381857870000005
3CQW_A,cidi,2.0,0.994707404,0.988336123,0.995719397,0.9776144,31.20650176,19.95070435,7.240490437,7.182522774
3DLS_A,cidi,2.0,0.9986540159999999,0.9959905290000001,0.991950709,0.987533326,30.70798937,27.53188107,6.725019932,7.864964485
3FXW_A,cidi,2.0,0.918423428,0.9668202359999999,0.976111937,0.9929102340000001,37.18342798,26.18486923,6.870440006,7.837993622000001
3GEQ_A,cidi,2.0,0.99817163,0.9967660559999999,0.9973442509999999,0.957007409,41.3619061,15.61457454,6.825846195,7.742856503
3IOK_A,cidi,2.0,0.871199607,0.997505367,0.968244687,0.955199334,42.45939566,25.93871227,7.249957561,9.044763565
3KF7_A,cidi,2.0,0.774499093,0.689549173,0.7935973829999999,0.995181757,28.98263537,37.57326985,7.469560146,8.061372757000001
3LVP_A,cidi,2.0,0.9885581729999999,0.9842810670000001,0.920362505,0.8210603670000001,65.44477153,31.27009221,8.869862556000001,8.879541397
3MY1_A,cidi,2.0,0.97833547,0.981060941,0.993822738,0.9923687309999999,35.51274725,20.24554425,7.464344025,8.704752922
3NYN_A,cidi,2.0,0.985614685,0.974872955,0.993975563,0.940050058,35.2299618,12.83522584,6.916679858999999,7.312989235
3OOG_A,cidi,2.0,0.999756814,0.997809857,0.9975230270000001,0.984735182,34.04200995,19.92881118,7.270381451,7.876873493
3Q32_A,cidi,2.0,0.8887994790000001,0.999132618,0.962657144,0.935069278,44.41292822,26.26899787,7.178598404,9.248828888
3RI1_A,cidi,2.0,0.9953463790000001,0.998234689,0.997878727,0.9453996170000001,44.85829107,17.82770592,6.856029987,8.487885475
3VBT_A,cidi,2.0,0.82366868,0.992787419,0.9918138540000001,0.97391158,31.65785739,22.302724100000002,7.206790924,8.085194588
3ZEW_A,cidi,2.0,0.9845609670000001,0.9972721720000001,0.998666785,0.9133323040000001,51.97060220000001,13.87958473,7.462974547999999,7.902584076
4AE6_A,cidi,2.0,0.961233483,0.996525161,0.981952035,0.9747242690000001,46.79911396,20.67732757,8.886778831,8.856679916000001
4BKZ_A,cidi,2.0,0.980231222,0.986854318,0.988917402,0.936518712,41.17503739,12.08705297,8.151600838,6.862640858
4CFM_A,cidi,2.0,0.994483972,0.9964552440000001,0.998187086,0.975411142,26.36554524,26.01109882,7.14431715,7.761564732
4DFN_A,cidi,2.0,0.993145085,0.994278607,0.993341412,0.9600601009999999,36.08611062,19.82275707,7.608555794,8.347855568
4EHZ_A,cidi,2.0,0.8537211440000001,0.998577086,0.96534931,0.93813598,42.03589314,20.30550243,6.55120182,8.928915977
4F9Y_A,cidi,2.0,0.633153651,0.7133546820000001,0.789125788,0.997945412,29.10321107,39.67555588,7.8101973529999995,8.142096518999999
4FTC_A,cidi,2.0,0.961390726,0.99016546,0.990916969,0.9856373279999999,32.93904755,21.95034186,7.0252757070000005,8.117031097
4GMY_A,cidi,2.0,0.9334265629999999,0.9759305890000001,0.981241018,0.961499377,42.26137082,23.13450825,6.969560146,8.889142036
4II5_A,cidi,2.0,0.993624197,0.995942703,0.9990433390000001,0.980646166,31.62846173,20.68604261,7.18777895,7.7590036389999995
4JDK_A,cidi,2.0,0.9878422109999999,0.99578333,0.9946147390000001,0.9677352770000001,30.26310606,43.45860877,6.794776917,8.381022453
4NH1_A,cidi,2.0,0.9926672320000001,0.9982124929999999,0.999884672,0.983455883,32.9228791,18.7620013,7.563305855,8.564646721
4QP1_A,cidi,2.0,0.996008267,0.992814396,0.992969889,0.917719332,40.51625601,14.34294456,9.204486847,6.895583153
4TYH_A,cidi,2.0,0.914462753,0.9741269309999999,0.987230292,0.951304612,48.1769527,30.21409687,8.472224236,9.101160049
4W9X_A,cidi,2.0,0.9805297759999999,0.999163985,0.994135352,0.9769589759999999,36.56083439,21.26514355,7.3396325110000005,8.06511879
4XG8_A,cidi,2.0,0.9671307490000001,0.993997366,0.998210499,0.98039204,34.48668948,26.21978575,7.148111342999999,7.919599056
5AP3_A,cidi,2.0,0.905907169,0.7353777220000001,0.8772297520000001,0.9216846390000001,52.77231938,24.32511441,9.379014015,7.62944746
5C8N_A,cidi,2.0,0.9894481740000001,0.9922018340000001,0.9900564159999999,0.95917916,44.58263594,23.10469621,7.482199192,7.772334099
5DR9_A,cidi,2.0,0.994187901,0.995625945,0.99440314,0.923757064,46.29931458,13.38939725,9.399056435,8.422544478999999
5J1V_A,cidi,2.0,0.9971666859999999,0.99968305,0.999017785,0.9018096390000001,34.38556873,15.62289744,7.601971626,7.512708664
5KHW_A,cidi,2.0,0.9668056420000001,0.993245162,0.9852733690000001,0.958546164,39.41794192,22.97360456,6.399688721,8.01529026
5KHX_A,cidi,2.0,0.883901798,0.996577734,0.9718268040000001,0.950767591,41.02393217,20.55831997,6.343796253,8.952396392999999
5KZ0_A,cidi,2.0,0.983133988,0.9906369140000001,0.95200507,0.9357839309999999,41.57856911,23.48400513,6.53208065,8.698555946
5L3A_A,cidi,2.0,0.985648173,0.9982019059999999,0.997888807,0.966731859,42.23907268,20.29118228,7.089773655,8.584681511
5LMA_A,cidi,2.0,0.9838572729999999,0.995264004,0.9979322559999999,0.9736467609999999,36.32681786,20.04084339,7.021169662,8.290434837000001
5LMB_A,cidi,2.0,0.9832320929999999,0.997849456,0.998084524,0.9675893720000001,37.56258213,19.56888626,6.861730099,8.461466789
5LWN_A,cidi,2.0,0.99010294,0.984210567,0.9957734109999999,0.983474462,38.19329547,18.979055499999998,6.624758244,9.142464638
5T68_A,cidi,2.0,0.954629216,0.9962976290000001,0.9953695859999999,0.938740667,44.20678976,14.4438047,7.281036854,7.926370144
5TOZ_A,cidi,2.0,0.984227042,0.9890973909999999,0.9987763059999999,0.978488192,40.36143591,19.54679792,6.748591900000001,8.730781555
5TR6_A,cidi,2.0,0.9867692990000001,0.999338099,0.996657452,0.9592078470000001,38.29539894,18.32885055,8.821896553,8.253027916
5TT7_A,cidi,2.0,0.99379657,0.9977878579999999,0.9951593990000001,0.960876565,39.61775276,18.5151397,6.797792435,8.161649704
4ZP5_A,cidi,2.0,0.905132828,0.817174902,0.913260306,0.755085235,54.47796729,52.49115472,9.202466965,10.80461979
1WBN_A,cido,2.0,-0.800600882,-0.744522792,-0.78267171,0.99939802,31.89985601,28.48763993,7.857137203,10.45957851
4KSQ_A,cido,2.0,-0.906372093,-0.937204068,-0.86471898,0.993402755,31.72316154,23.21094111,7.216808319,9.869684219
2H6D_A,cido,2.0,-0.635180839,-0.824858077,-0.835029672,0.716730902,75.38596961,47.72295178,10.8655386,11.40232468
2P4I_A,cido,2.0,-0.68972497,-0.8167659540000001,-0.5726727229999999,0.9562084999999999,47.34515728,46.67084409,7.39268589,12.19420815
2RL5_A,cido,2.0,-0.746080442,-0.8105344529999999,-0.604118964,0.96653257,47.0358778,17.89902515,7.134028912000001,10.00512981
2YZA_A,cido,2.0,-0.7508989340000001,-0.875051902,-0.885927885,0.699232582,76.57127491,48.28803387,11.16464806,11.46970654
3CTH_A,cido,2.0,-0.7052383609999999,-0.6815451859999999,-0.660214901,0.932785176,50.42841067,41.360963,7.504652022999999,9.851938248
3CTJ_A,cido,2.0,-0.673985353,-0.610271655,-0.629211321,0.890931032,45.48378724,56.71967361,6.842422485,10.40093136
3DZQ_A,cido,2.0,-0.768492202,-0.8705711279999999,-0.610204257,0.986124577,42.58654617,27.53489162,7.538640022,9.505019188
3EL7_A,cido,2.0,-0.669240883,-0.7878342709999999,-0.413780015,0.973299583,40.70092831,19.16029365,7.276830196000001,8.230212212
3EL8_A,cido,2.0,-0.548984816,-0.7566489040000001,0.184721537,0.982566905,37.72894303,26.99955794,7.067703723999999,8.628147125
3TUD_A,cido,2.0,-0.743785363,-0.8259011279999999,-0.556661529,0.952532211,40.0644487,22.41072294,7.828418732,10.74890423
3U6J_A,cido,2.0,-0.603871258,-0.588404818,-0.548901272,0.9335819320000001,52.95269739,38.91254449,6.89810276,9.693480492
4AGW_A,cido,2.0,-0.7842522820000001,-0.910542394,-0.462553641,0.8444823459999999,61.87617619,32.11989494,8.096837043999999,8.573581696
4KAO_A,cido,2.0,-0.8172547029999999,-0.9071623440000001,-0.697346756,0.9554013859999999,39.6739575,32.50473057,6.684753895,9.467557907
4NEU_A,cido,2.0,-0.72716265,-0.8202442609999999,-0.592609018,0.963263951,39.33846407,29.50168592,6.684921741,9.755339622000001
5AR7_A,cido,2.0,-0.838677158,-0.883634037,-0.724450356,0.9779341990000001,35.12631153,25.77097365,6.60663271,9.464687347
5BVK_A,cido,2.0,-0.728561197,-0.819424728,-0.6521533429999999,0.969830643,44.60186412,23.76151494,7.122506142000001,10.10479355
5BVN_A,cido,2.0,-0.7417771940000001,-0.845787269,-0.616825143,0.9871926790000001,45.45493046,26.34349381,7.859628677000001,9.73483181
5FDP_A,cido,2.0,-0.736912818,-0.843486198,-0.607377944,0.989225293,44.028417100000006,28.42406248,8.175792694,10.13057899
5FDX_A,cido,2.0,-0.7546257609999999,-0.8643793009999999,-0.5853574229999999,0.980082916,47.27785518,28.04729362,8.142038345,10.44640636
3DB6_A,codi,2.0,0.991474766,0.995759609,0.973052313,0.95411896,51.04859544,20.53256751,10.87735653,8.774605751000001
3F5P_A,codi,2.0,0.926667019,0.996462182,0.961838009,0.87541939,66.23602574,34.84343154,10.57295895,9.814002037
